id,db_id,difficulty,step_sequence,notable_pattern,notes
bird_1471,debit_card_specializing,simple,UNDERSTAND->DRAFT->TEST->FINALIZE,,short/clean; only seen via early smoke test not full formal tagging
bird_1473,debit_card_specializing,moderate,UNDERSTAND->EXPLORE(real,samples values)->DRAFT->[workflow/timing confusion]->TEST(iter2)->FINALIZE,tool-uncertainty,genuinely uses db.sample_values before drafting
bird_1476,debit_card_specializing,moderate,UNDERSTAND->DRAFT->TEST->FINALIZE,,short/clean; only seen via early smoke test not full formal tagging
bird_1479,debit_card_specializing,moderate,UNDERSTAND->EXPLORE(intent)->TEST(2nd turn,confident)->FINALIZE,,paired with low-effort version which showed tool-doubt; high effort clean
bird_1480,debit_card_specializing,moderate,UNDERSTAND->EXPLORE(intent)->DRAFT->TEST(2nd turn)->FINALIZE,,paired with low-effort version which showed tool-doubt; high effort clean
bird_1483,debit_card_specializing,simple,UNDERSTAND->EXPLORE(intent)->DRAFT->FINALIZE,,clean
bird_1484,debit_card_specializing,challenging,UNDERSTAND->EXPLORE(intent)->DRAFT->[uncertain,guesses at values]->REFINE->FINALIZE,memorization (Kaggle mention),mentions "gas stations dataset from Kaggle" - possible training-data recall
bird_1493,debit_card_specializing,simple,UNDERSTAND->EXPLORE(intent)->DRAFT->[edge-case worry: 0 rows/NULL]->TEST(2nd turn)->FINALIZE,,careful about COUNT vs SUM NULL handling
bird_1317,student_club,moderate,UNDERSTAND->EXPLORE(checks sample values/casing)->DRAFT->TEST->FINALIZE,HIGH-WINS flip case (vs low),low effort failed same question via unescaped apostrophe; high explicitly checked casing/escaping first
bird_1501,debit_card_specializing,challenging,UNDERSTAND->EXPLORE->DRAFT->TEST->[stuck,iterates 6x]->EXPLORE deeper->FINALIZE,HIGH-WINS flip case (vs low),needed non-obvious join through yearmonth as proxy for missing 2013 data; low gave up
bird_1500,debit_card_specializing,moderate,UNDERSTAND->EXPLORE(extensive)->DRAFT->TEST->[hits anomaly]->EXPLORE deeper->REFINE->FINALIZE,longest trace (18 blocks/5 turns),same question also very long under low effort - length tracks real data difficulty not effort setting
bird_1505,debit_card_specializing,simple,UNDERSTAND->DRAFT->[uncertain distinct vs raw]->TEST(2nd turn)->FINALIZE,,
bird_1506,debit_card_specializing,moderate,UNDERSTAND->DRAFT->TEST->[mild tool-timing confusion]->FINALIZE,tool-uncertainty (mild),
bird_1507,debit_card_specializing,simple,UNDERSTAND->[tool output visibility uncertainty]->DRAFT->TEST(2nd turn)->FINALIZE,tool-uncertainty,
bird_1509,debit_card_specializing,simple,UNDERSTAND->EXPLORE(intent)->[extended tool-execution-timing confusion]->DRAFT->[more confusion]->FINALIZE,tool-uncertainty (strong),
