id,db_id,difficulty,assignee,wrong_turn,error_class,subcategory,fix_idea,notes
bird_1011,formula_1,challenging,Aziz,1,REASONING,string-sort-on-time; question-misread,TEXT time columns ('M:SS.mmm') must be parsed to seconds before MIN/ORDER BY -- never compare as strings.,"Returned 1 row where question asks top 20; result ""10:32.179"" as fastest lap was implausible and not sanity-checked; gold adds an unexplained numeric column (partial gold quirk)."
bird_1014,formula_1,challenging,Aziz,1,KNOWLEDGE,wrong-source-column,Offline metadata: column descriptions in schema block (results.FastestLapTime = official lap record) so model doesn't rebuild it from lapTimes.,"Model's approach (per-circuit fastest via window fn) was internally sound, just used the wrong source table."
bird_1029,european_football_2,moderate,Aziz,-,GOLD_NOISE,gold-sorts-wrong-direction,None -- document.,"Question says ""highest"", gold ORDER BY ASC returns the 4 lowest; model's answer is correct for the question as written."
bird_1031,european_football_2,challenging,Aziz,2,REASONING,hint-formula-not-followed,Enforce hint-verbatim formula translation.,Model computed a more precise age (month-adjusted) than the hint's crude formula and lost; math is arguably better than gold.
bird_1032,european_football_2,moderate,Aziz,-,GOLD_NOISE,arbitrary-tie-break,None.,"Two leagues tied at exactly 3040 matches; gold picks one, model picks the other -- coin flip."
bird_1058,european_football_2,challenging,Aziz,,,,,
bird_1092,european_football_2,simple,Aziz,2,REASONING,unhandled-tie,"Guideline: if an exploratory query reveals a tie for a max/min value, use a subquery/window function (RANK/DENSE_RANK) to return ALL ties. Never use LIMIT 1 after observing a tie.","VERIFIED: turn 1 exploration explicitly showed a 4-way tie (380 matches, 4 leagues). Turn 2 (FINAL) used LIMIT 1 anyway, discarding 3 of 4 correct answers. [Corrected from PDF: wrong_turn is 2, not 1 -- turn 1 itself was correct exploration.]"
bird_1094,european_football_2,challenging,Aziz,4,GOLD_NOISE,weird-gold-logic,None -- document. Gold SUMs overall_rating across ALL historical attribute snapshots per player instead of comparing latest/current ratings.,"VERIFIED WITH REAL DB QUERY: Ariel Borysiuk has 24 attribute rows summing to 1587; Paulin Puel has 12 rows summing to 679. Gold formula (1587-679)*100/679=133.726 matches exactly. Players have very different snapshot counts (24 vs 12), so summing raw history is not a meaningful ""current rating"" comparison -- it structurally penalizes players with fewer DB entries. Model used latest-by-date rating (68 vs 59) for a semantically correct 15.25%."
bird_1107,european_football_2,moderate,Aziz,2,GOLD_NOISE,broken-nested-orderby,"None -- document. NOT a simple ASC/DESC flip. Gold's inner subquery ORDER BY crossing DESC has no effect because the outer query re-sorts by date DESC, discarding it entirely.","VERIFIED WITH REAL DB QUERY: Kevin Constant's true MAX crossing is 82. Gold's answer date (2016-04-21) has crossing=72 -- nowhere near his max. Gold literally just returns his single most-recent attribute record's date, completely unrelated to his highest crossing score. [CORRECTED from PDF: this is a broken/non-functional nested query, not a simple direction flip -- flipping ASC/DESC would not fix it.]"
bird_1135,european_football_2,moderate,Aziz,-,GOLD_NOISE,wrong-id-column-no-dedup,"None -- document core bug (wrong id column, no per-player dedup). Separately: hint's exact-MIN() formula may not match the natural ""top four ranked"" reading of the question -- flag as a distinct interpretive ambiguity.","VERIFIED WITH REAL DB QUERY: schema confirms Player_Attributes.id is a raw per-snapshot row primary key, NOT a player identifier. The 4 returned ""ids"" (66213,66214,132235,132236) decode to only 2 distinct real players (166963 and 41496), each counted twice via separate date-snapshots. [NUANCE ADDED vs PDF: gold's ORDER BY...LIMIT 4 ranking approach (vs hint's literal MIN()) may be a defensible reading of ""top four lowest"" -- two separate issues bundled here, not one.]"
