id,db_id,difficulty,step_sequence,wrong_turn_stage,known_root_cause,notes
bird_1472,debit_card_specializing,moderate,UNDERSTAND->[tool-uncertainty]->DRAFT[wrong: skips aggregation]->[tool-uncertainty]->FINALIZE,DRAFT,REASONING / no-aggregation-over-period (see new_classification_sheet_aziz.csv),"Wrong turn is explicit in the trace: ""I don't need to include the date; just the CustomerID will do"" -- never considers SUM across months before ranking."
bird_1481,debit_card_specializing,challenging,UNDERSTAND->[genuine formula ambiguity]->DRAFT->[tool-uncertainty]->REFINE->[reconsiders formula]->REFINE->FINALIZE,none (gold-side defect),GOLD_NOISE / hint-formula-not-implemented-by-gold (see new_classification_sheet_aziz.csv),"Genuinely long, deliberate multi-turn reasoning on an ambiguous hint -- not a careless slip. Model's approach correctly implements the hint; gold doesn't match its own hint."
bird_1482,debit_card_specializing,challenging,UNDERSTAND->[tool-uncertainty]->DRAFT[wrong: outputs labels not values]->[tool-uncertainty]->FINALIZE,DRAFT (iteration 2),REASONING / returned-labels-not-raw-metric-values (see new_classification_sheet_aziz.csv),"Wrong turn is the iteration-2 decision to output segment names (SME/LAM) instead of the 3 numeric percentages the hint's formula produces. Direction of reasoning (SME biggest, LAM lowest) was correct."
bird_1498,debit_card_specializing,simple,UNDERSTAND->[tool-uncertainty]->DRAFT[wrong: skips aggregation]->[tool-uncertainty]->FINALIZE,DRAFT (iteration 2),REASONING / no-aggregation-before-superlative (see new_classification_sheet_aziz.csv),"Same bug family and same database as bird_1472/bird_1482 -- single-row ORDER BY instead of SUM-then-rank."
bird_1524,debit_card_specializing,simple,UNDERSTAND[wrong: chooses Currency over Country]->[tool-uncertainty]->FINALIZE,UNDERSTAND (iteration 1),KNOWLEDGE / wrong-column-for-concept (see new_classification_sheet_aziz.csv),"Wrong turn is the very first guess -- picks Currency as a plausible nationality proxy and never revisits it. Genuine schema-knowledge gap (no nationality column exists at all)."
bird_1526,debit_card_specializing,challenging,UNDERSTAND->DRAFT->[gold-side defect: div-by-zero, unwinnable],none (gold-side defect),GOLD_NOISE / gold-returns-null (div-by-zero) + hint-date-mismatch (see new_classification_sheet_aziz.csv),"Not a real model mistake -- gold_answer is literally [[None]]. Model's approach is reasonable."
bird_1529,debit_card_specializing,moderate,UNDERSTAND->[tool-uncertainty]->DRAFT[wrong column choice: SUM(Amount) not Price]->FINALIZE,DRAFT,GOLD_NOISE / join-fanout-bug (see new_classification_sheet_aziz.csv),"Wrong-column choice compounds with a real gold-side fanout bug -- mixed mechanism, see the full classification notes."
bird_1531,debit_card_specializing,moderate,UNDERSTAND[wrong: ranks via Price not Consumption]->[tool-uncertainty]->DRAFT->[tool-uncertainty]->REFINE->FINALIZE,UNDERSTAND,KNOWLEDGE (DB-specific) / wrong-table-for-spending-superlative (see new_classification_sheet_aziz.csv),"4th occurrence of this exact DB-specific convention bug in this batch (with bird_1472/1482/1498's aggregation family)."
bird_1322,student_club,moderate,UNDERSTAND->DRAFT->FINALIZE,none (gold-side defect),GOLD_NOISE / gold-answers-different-question (see new_classification_sheet_aziz.csv),"Clean, correct process throughout. Model faithfully answers the literal question (count=4); gold's EXCEPT structure answers something else entirely."
bird_1338,student_club,moderate,UNDERSTAND->DRAFT[wrong: aggregates into single YES/NO instead of per-row]->[tool-uncertainty]->REFINE->FINALIZE,DRAFT,REASONING / yesno-rule-overtriggered-on-each (see new_classification_sheet_aziz.csv),"First documented case of our own scaffold's yes/no rule causing a failure -- overtriggers on 'was each X...' phrasing that wants per-row values, not an aggregate."
